Code,Devanagari,Comments,Official Name,IAST s diacritics,Ma Renu Method,Ma Renu s diacritics,Harvard- Kyoto,Alt Spelling 1,Alt Spelling 2,Alt Spelling 3,Alt Spelling 4,Alt Spelling 5,Alt Spelling 6,Unique  to ITRANS  ,,,
N,,,Richard,,,,,,,,,,,,,,
N,,Elder of two sons of Devaki McKay,Rio ,,,,,Vio,,,,,,,,,
N,,,Robert,,,,,,,,,,,,,,
N,,,Rohini,,,,,,,,,,,,,,
N,,,Ronald,,,,,,,,,,,,,,
N,,,Rosa,,,,,,,,,,,,,,
N,,,Roscoe,,,,,,,,,,,,,,
N,,,Rudolph Steiner,,,,,,,,,,,,,,
N,,,Rumi,,,,,,,,,,,,,,
N,,,Sadanand Ward Maillaird (SN),,,,,SN,,,,,,,,,
N,सत्य साईं बाबा,,Satya Sai Baba,,,,,,,,,,,,,,
N,,,Sampad Martin Kachuk,,,,,kachuk,,,,,,,,,
